ne_ip,location,type,ssa,phase,ne_name,ne_id,dcc_ip,software_version,hardware_version,pcb_version,last_upload_time,orig_location
10.121.99.158,MGVCL TARSLI,TN703B,GJ_SSA VDR,PH3,10.121.99.158_MGVCL TARSLI_TN703B_GJ_SSA VDR_PH3,e=13338,10.121.99.158,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-06-20 01:29:09,SSA VADODRA _PH3
10.121.100.17,KADODARA,TN725B,GJ_SSA SR,PH3,10.121.100.17_KADODARA_TN725B_GJ_SSA SR_PH3,e=15522,10.121.100.17,2.9.1 load2.9.1_p13,B1,0.0,2026-08-28 01:15:33,GUJ_SUART SSA_PH3
10.121.18.33,ADANI SHANTIGRAM,TN705B,GJ_SSA AM,PH3,10.121.18.33_ADANI SHANTIGRAM_TN705B_GJ_SSA AM_PH3,e=15529,10.121.18.33,2.9.1 load2.9.1_p13,B1,0.0,2026-08-30 01:11:37,
10.121.68.1,Surat 3(GNE),TN725B,WTR_AM,PH3,10.121.68.1_Surat 3(GNE)_TN725B_WTR_AM_PH3,e=15515,10.121.68.1,2.9.1 load2.9.1_p13,B1,2.0,2026-08-05 01:46:39,GUJ_SURAT WTR
10.121.96.86,BHARUCH DC,TN705B,GJ_SSA BCH,PH3,10.121.96.86_BHARUCH DC_TN705B_GJ_SSA BCH_PH3,e=15497,10.121.96.86,2.9.1 load2.9.1_p13,B1,0.0,2026-07-25 01:40:40,
10.121.17.100,GAGODHAR,TN705B,WTR_RJ,PH3,10.121.17.100_GAGODHAR_TN705B_WTR_RJ_PH3,e=15295,10.121.17.100,2.9.1 load2.9.1_p13,B1,2.0,2026-09-05 01:04:17,
10.121.24.242,Sunav B1,TN705B,GJ_SSA NAD,PH2,10.121.24.242_Sunav B1_TN705B_GJ_SSA NAD_PH2,e=15579,10.121.24.242,2.9.1 load2.9.1_p13,B1,0.0,2026-07-28 01:26:01,
10.121.20.3,GIDC,TN725B,GJ_SSA JMN,PH2,10.121.20.3_GIDC_TN725B_GJ_SSA JMN_PH2,e=4133,10.121.20.3,2.9.1 load2.9.1_p13,B1,0.0,2026-08-18 01:33:47,Gujrat
10.121.15.212,THARA,TN705B,WTR_AM,PH3,10.121.15.212_THARA_TN705B_WTR_AM_PH3,e=15996,10.121.15.212,2.9.1 load2.9.1_p13,B1,2.0,2026-07-19 01:17:16,GUJ_WTR
10.121.16.15,Palej,TN725B,WTR_AM,PH2,10.121.16.15_Palej_TN725B_WTR_AM_PH2,e=5657,10.121.16.15,2.9.1 load2.9.1_p13,B1,0.0,2026-08-04 02:03:55,GUJ _AHMD WTR
10.121.99.175,BOB SURAJ PLAZA-3,TN703B,GJ_SSA VDR,PH3,10.121.99.175_BOB SURAJ PLAZA-3_TN703B_GJ_SSA VDR_PH3,e=34401,10.121.99.175,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-06-05 01:43:20,
10.121.20.7,Jail Road,TN725B,GJ_SSA JMN,PH2,10.121.20.7_Jail Road_TN725B_GJ_SSA JMN_PH2,e=4141,10.121.20.7,2.9.1 load2.9.1_p13,B1,0.0,2026-08-30 01:19:26,Gujarat Jamnagar SSA
10.121.24.180,TEMPLE OLD,TN703B,GJ_SSA VAL,PH3,10.121.24.180_TEMPLE OLD_TN703B_GJ_SSA VAL_PH3,e=16353,10.121.24.180,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-08-29 01:13:58,
10.121.96.9,BAGASARA,TN725B,GJ_SSA AMR,PH3,10.121.96.9_BAGASARA_TN725B_GJ_SSA AMR_PH3,e=17059,10.121.96.9,2.9.1 load2.9.1_p13,B1,2.0,2026-09-11 01:20:26,
10.121.99.2,WADHWAN,TN725B,GJ_SSA SEN,PH3,10.121.99.2_WADHWAN_TN725B_GJ_SSA SEN_PH3,e=17065,10.121.99.2,2.9.1 load2.9.1_p13,B1,2.0,2026-07-17 01:41:14,GUJ_SEN SSA_PH2
10.121.18.252,ADALAJ,TN725B,GJ_SSA AM,PH3,10.121.18.252_ADALAJ_TN725B_GJ_SSA AM_PH3,e=17274,10.121.18.252,2.9.1 load2.9.1_p13,B1,2.0,2026-08-23 01:30:16,GUJ_AHMD SSA_PH3
10.121.15.209,Dhanera,TN705B,WTR_AM,PH2,10.121.15.209_Dhanera_TN705B_WTR_AM_PH2,e=17294,10.121.15.209,2.9.1 load2.9.1_p13,B1,0.0,2026-07-05 01:39:10,GUJ-AHM WTR
10.121.100.1,SURAT(GNE),TN725B,GJ_SSA SR,PH3,10.121.100.1_SURAT(GNE)_TN725B_GJ_SSA SR_PH3,e=17223,10.121.100.1,2.9.1 load2.9.1_p13,B1,2.0,2026-09-10 01:01:07,GUJ-SURAT SSA_PH3
10.121.24.88,MAMLATDAR,TN703B,GJ_SSA BUJ,PH3,10.121.24.88_MAMLATDAR_TN703B_GJ_SSA BUJ_PH3,e=47291,10.121.24.88,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-08-24 01:22:11,
10.121.96.89,PANDAVAI SUGAR,TN703B,GJ_SSA BCH,PH3,10.121.96.89_PANDAVAI SUGAR_TN703B_GJ_SSA BCH_PH3,e=17229,10.121.96.89,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-09-12 01:22:10,
10.121.18.251,INFO CITY,TN725B,GJ_SSA AM,PH3,10.121.18.251_INFO CITY_TN725B_GJ_SSA AM_PH3,e=17273,10.121.18.251,2.9.1 load2.9.1_p13,B1,2.0,2026-09-11 01:33:13,GUJ_AHMD SSA_PH3
10.121.96.91,KharethaBTSA1,TN703B,GJ_SSA BCH,PH3,10.121.96.91_KharethaBTSA1_TN703B_GJ_SSA BCH_PH3,e=17231,10.121.96.91,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-07-20 01:19:00,
10.121.97.193,JUNAGADH JR2,TN725B,GJ_SSA JND,PH3,10.121.97.193_JUNAGADH JR2_TN725B_GJ_SSA JND_PH3,e=17763,10.121.97.193,2.9.1 load2.9.1_p13,B1,2.0,2026-09-02 01:12:48,
10.121.24.89,KUTCH UNIVERSITY,TN703B,GJ_SSA BUJ,PH3,10.121.24.89_KUTCH UNIVERSITY_TN703B_GJ_SSA BUJ_PH3,e=47297,10.121.24.89,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-08-24 01:22:01,
10.121.97.70,TALOD,TN705B,GJ_SSA HMR,PH3,10.121.97.70_TALOD_TN705B_GJ_SSA HMR_PH3,e=16378,10.121.97.70,2.9.1 load2.9.1_p13,B1,2.0,2026-08-06 01:26:20,
10.121.100.32,VYARA GSWAN2,TN705B,GJ_SSA SR,PH3,10.121.100.32_VYARA GSWAN2_TN705B_GJ_SSA SR_PH3,e=29203,10.121.100.32,2.9.1 load2.9.1_p13,B1,2.0,2026-08-28 01:19:36,
