Index,Object Fid,Last Upload Time,NE Name,NE ID,NE Type,DCC IP,Net Mask,Software Version,Hardware Version,PCB Version,Manufacture Date,Location,
829,\10.121.24.150_MANDIR_TN705B_GJ_SSA VAL_PH3,2026-09-03 01:00:12,10.121.24.150_MANDIR_TN705B_GJ_SSA VAL_PH3,\e=33380,TN705B R2.9.2,10.121.24.150,,2.9.1 load2.9.1_p13,B1,2,,,
830,\10.121.97.202_INAJ_TN705B_GJ_SSA JND_PH2,2026-09-03 01:07:53,10.121.97.202_INAJ_TN705B_GJ_SSA JND_PH2,\e=26205,TN705B R2.9.2,10.121.97.202,,2.9.1 load2.9.1_p13,B1,2,,,
831,\10.121.16.208_CEAT HALOL_TN703B_GJ_SSA GDH_PH3,2026-08-16 01:18:15,10.121.16.208_CEAT HALOL_TN703B_GJ_SSA GDH_PH3,\e=23852,TN703B R2.9.2 Rev.B,10.121.16.208,,2.9.1 Rev.B load2.9.1_p14,B1,0,,SSA GODHRA_PH3,
832,\10.121.25.101_Patan Exchange_TN703B_GJ_SSA MEH_PH2,2026-08-23 01:24:40,10.121.25.101_Patan Exchange_TN703B_GJ_SSA MEH_PH2,\e=7776,TN703B R2.9.2 Rev.B,10.121.25.101,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GUJ _MEHSANA  SSA,
833,\10.121.24.17_Choki_TN703B_GJ_SSA JND_PH2,2026-07-20 01:24:53,10.121.24.17_Choki_TN703B_GJ_SSA JND_PH2,\e=20342,TN703B R2.9.2 Rev.A,10.121.24.17,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
834,\10.121.68.218_DWARKA2_TN725B_GJ_SSA JMN_PH3,2026-09-07 01:06:44,10.121.68.218_DWARKA2_TN725B_GJ_SSA JMN_PH3,\e=43142,TN725B R2.9.2,10.121.68.218,,2.9.1 load2.9.1_p13,B1,2,,,
835,\10.121.68.215_JODIA_TN705B_WTR_RJ_PH3,2026-08-31 01:06:06,10.121.68.215_JODIA_TN705B_WTR_RJ_PH3,\e=37714,TN705B R2.9.2,10.121.68.215,,2.9.1 load2.9.1_p13,B1,0,,,
836,\10.121.25.100_LANGHNAJ BTS_TN703B_GJ_SSA MEH_PH2,2026-09-11 01:06:10,10.121.25.100_LANGHNAJ BTS_TN703B_GJ_SSA MEH_PH2,\e=9274,TN703B R2.9.2 Rev.B,10.121.25.100,,2.9.1 Rev.B load2.9.1_p14,B1,0,,Gujarat Mehsana SSA,
837,\10.121.17.39_JIVAPAR_TN703B_GJ_SSA RJ_PH1,2026-09-02 01:30:12,10.121.17.39_Kamlapur_TN703B_GJ_SSA RJ_PH1,\e=5576,TN703B R2.9.2 Rev.A,10.121.17.39,,2.9.1 Rev.A load2.9.1_p14,B1,2,,GUJ _GUJRAT CIRCLE SSA,
838,\10.121.100.28_KADODARA A1_TN703B_GJ_SSA SR_PH3,2026-08-01 01:18:52,10.121.100.28_KADODARA A1_TN703B_GJ_SSA SR_PH3,\e=21628,TN703B R2.9.2 Rev.B,10.121.100.28,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
